"name","Origin","Year","Total"
"Belgium","Afghanistan",2014,744
"Bosnia and Herzegovina","Afghanistan",2014,10
"Bulgaria","Afghanistan",2014,2949
"Canada","Afghanistan",2014,461
"Croatia","Afghanistan",2014,18
"Cyprus","Afghanistan",2014,1
"Czech Republic","Afghanistan",2014,13
"Denmark","Afghanistan",2014,321
"Finland","Afghanistan",2014,198
"France","Afghanistan",2014,605
"Germany","Afghanistan",2014,9115
"Greece","Afghanistan",2014,1711
"Hungary","Afghanistan",2014,8539
"Ireland","Afghanistan",2014,25
"Italy","Afghanistan",2014,3104
"Japan","Afghanistan",2014,26
"Latvia","Afghanistan",2014,13
"Liechtenstein","Afghanistan",2014,1
"Lithuania","Afghanistan",2014,70
"Luxembourg","Afghanistan",2014,9
"Montenegro","Afghanistan",2014,12
"Netherlands","Afghanistan",2014,452
"New Zealand","Afghanistan",2014,9
"Norway","Afghanistan",2014,549
"Poland","Afghanistan",2014,31
"Portugal","Afghanistan",2014,2
"South Korea","Afghanistan",2014,21
"Romania","Afghanistan",2014,277
"Serbia","Afghanistan",2014,3017
"Slovakia","Afghanistan",2014,76
"Slovenia","Afghanistan",2014,71
"Spain","Afghanistan",2014,98
"Sweden","Afghanistan",2014,2882
"Switzerland","Afghanistan",2014,727
"Macedonia [FYROM]","Afghanistan",2014,389
"Turkey","Afghanistan",2014,15652
"United Kingdom","Afghanistan",2014,1753
"United States","Afghanistan",2014,277
"Albania","Afghanistan",2015,3
"Australia","Afghanistan",2015,569
"Austria","Afghanistan",2015,25143
"Belgium","Afghanistan",2015,7562
"Bosnia and Herzegovina","Afghanistan",2015,6
"Bulgaria","Afghanistan",2015,6163
"Canada","Afghanistan",2015,494
"Croatia","Afghanistan",2015,9
"Cyprus","Afghanistan",2015,10
"Czech Republic","Afghanistan",2015,24
"Denmark","Afghanistan",2015,2288
"Estonia","Afghanistan",2015,12
"Finland","Afghanistan",2015,5198
"France","Afghanistan",2015,2453
"Germany","Afghanistan",2015,31382
"Greece","Afghanistan",2015,1544
"Hungary","Afghanistan",2015,45560
"Iceland","Afghanistan",2015,22
"Ireland","Afghanistan",2015,124
"Italy","Afghanistan",2015,3986
"Japan","Afghanistan",2015,13
"Latvia","Afghanistan",2015,34
"Liechtenstein","Afghanistan",2015,8
"Lithuania","Afghanistan",2015,31
"Luxembourg","Afghanistan",2015,215
"Montenegro","Afghanistan",2015,4
"Netherlands","Afghanistan",2015,2550
"New Zealand","Afghanistan",2015,12
"Norway","Afghanistan",2015,6916
"Poland","Afghanistan",2015,15
"Portugal","Afghanistan",2015,4
"South Korea","Afghanistan",2015,14
"Romania","Afghanistan",2015,96
"Serbia","Afghanistan",2015,40
"Slovakia","Afghanistan",2015,27
"Slovenia","Afghanistan",2015,47
"Spain","Afghanistan",2015,38
"Sweden","Afghanistan",2015,41281
"Switzerland","Afghanistan",2015,7800
"Macedonia [FYROM]","Afghanistan",2015,358
"Turkey","Afghanistan",2015,63292
"United Kingdom","Afghanistan",2015,2852
"United States","Afghanistan",2015,319
"Albania","Afghanistan",2016,64
"Australia","Afghanistan",2016,2562
"Austria","Afghanistan",2016,11506
"Belgium","Afghanistan",2016,2227
"Bosnia and Herzegovina","Afghanistan",2016,0
"Bulgaria","Afghanistan",2016,8613
"Canada","Afghanistan",2016,638
"Croatia","Afghanistan",2016,588
"Cyprus","Afghanistan",2016,0
"Czech Republic","Afghanistan",2016,28
"Denmark","Afghanistan",2016,1122
"Finland","Afghanistan",2016,697
"France","Afghanistan",2016,5466
"Germany","Afghanistan",2016,127011
"Greece","Afghanistan",2016,524
"Hungary","Afghanistan",2016,10772
"Iceland","Afghanistan",2016,7
"Ireland","Afghanistan",2016,117
"Italy","Afghanistan",2016,2843
"Japan","Afghanistan",2016,0
"Latvia","Afghanistan",2016,35
"Liechtenstein","Afghanistan",2016,0
"Lithuania","Afghanistan",2016,25
"Luxembourg","Afghanistan",2016,41
"Malta","Afghanistan",2016,6
"Montenegro","Afghanistan",2016,50
"Netherlands","Afghanistan",2016,1045
"New Zealand","Afghanistan",2016,0
"Norway","Afghanistan",2016,373
"Poland","Afghanistan",2016,0
"Portugal","Afghanistan",2016,10
"South Korea","Afghanistan",2016,5
"Romania","Afghanistan",2016,39
"Serbia","Afghanistan",2016,405
"Slovakia","Afghanistan",2016,0
"Slovenia","Afghanistan",2016,405
"Spain","Afghanistan",2016,53
"Sweden","Afghanistan",2016,2144
"Switzerland","Afghanistan",2016,3183
"Macedonia [FYROM]","Afghanistan",2016,163
"Turkey","Afghanistan",2016,34669
"United Kingdom","Afghanistan",2016,3099
"United States","Afghanistan",2016,285
"Albania","Afghanistan",2017,21
"Australia","Afghanistan",2017,1002
"Austria","Afghanistan",2017,1546
"Belgium","Afghanistan",2017,420
"Bosnia and Herzegovina","Afghanistan",2017,5
"Bulgaria","Afghanistan",2017,691
"Canada","Afghanistan",2017,250
"Croatia","Afghanistan",2017,88
"Cyprus","Afghanistan",2017,0
"Czech Republic","Afghanistan",2017,0
"Denmark","Afghanistan",2017,72
"Estonia","Afghanistan",2017,0
"France","Afghanistan",2017,2602
"Germany","Afghanistan",2017,7426
"Hungary","Afghanistan",2017,359
"Iceland","Afghanistan",2017,0
"Ireland","Afghanistan",2017,11
"Italy","Afghanistan",2017,384
"Japan","Afghanistan",2017,0
"Lithuania","Afghanistan",2017,5
"Luxembourg","Afghanistan",2017,0
"Malta","Afghanistan",2017,0
"Montenegro","Afghanistan",2017,17
"Netherlands","Afghanistan",2017,162
"New Zealand","Afghanistan",2017,0
"Norway","Afghanistan",2017,45
"Poland","Afghanistan",2017,5
"Portugal","Afghanistan",2017,0
"South Korea","Afghanistan",2017,0
"Romania","Afghanistan",2017,77
"Serbia","Afghanistan",2017,63
"Slovakia","Afghanistan",2017,11
"Slovenia","Afghanistan",2017,175
"Spain","Afghanistan",2017,43
"Sweden","Afghanistan",2017,596
"Switzerland","Afghanistan",2017,455
"Macedonia [FYROM]","Afghanistan",2017,7
"Turkey","Afghanistan",2017,18872
"United Kingdom","Afghanistan",2017,425
"United States","Afghanistan",2017,77
